0.0060004 0 0 0 | 0 0 0 | 0 0 | 0 0 | 1 1.1 -1 | 25 12 13
2.7461571 0 0 0 | 0 0 0 | 0 0 | 0 0 | 1 1.1 -1 | 25 12 13
2.7561577 0 0 0 | 0 0 0 | 0 0 | 0 0 | 1 1.1 -1 | 25 12 13
2.7661582 0 0 0 | 0 0 0 | 0 0 | 0 0 | 1 1.1 -1 | 25 12 13
2.7761588 0 0 0 | 0 0 0 | 0 0 | 0 0 | 1 1.1 -1 | 25 12 13
2.7861594 0 0 0 | 0 0 0 | 0 0 | 0 0 | 1 1.1 -1 | 25 12 13
2.79616 0 0 0 | 0 0 0 | 0 0 | 0 0 | 1 1.1 -1 | 25 12 13
2.8061605 0 0 0 | 0 0 0 | 0 0 | 0 0 | 1 1.1 -1 | 25 12 13
2.8161611 0 0 0 | 0 0 0 | 0 0 | 0 0 | 1 1.1 -1 | 25 12 13
2.8261617 0 0 0 | 0 0 0 | 0 0 | 0 0 | 1 1.1 -1 | 25 12 13
2.8361622 0 0 0 | 0 0 0 | 0 0 | 0 0 | 1 1.1 -1 | 25 12 13
2.8461628 0 0 0 | 0 0 0 | 0 0 | 0 0 | 1 1.1 -1 | 25 12 13
2.8561634 0 0 0 | 0 0 0 | 0 0 | 0 0 | 1 1.1 -1 | 25 12 13
2.866164 0 0 0 | 0 0 0 | 0 0 | 0 0 | 1 1.1 -1 | 25 12 13
2.8761645 0 0 0 | 0 0 0 | 0 0 | 0 0 | 1 1.1 -1 | 25 12 13
2.8861651 0 0 0 | 0 0 0 | 0 0 | 0 0 | 1 1.1 -1 | 25 12 13
2.8961657 0 0 0 | 0 0 0 | 0 0 | 0 0 | 1 1.1 -1 | 25 12 13
2.9061663 0 0 0 | 0 0 0 | 0 0 | 0 0 | 1 1.1 -1 | 25 12 13
2.9161668 0 0 0 | 0 0 0 | 0 0 | 0 0 | 1 1.1 -1 | 25 12 13
2.9261674 0 0 0 | 0 0 0 | 0 0 | 0 0 | 1 1.1 -1 | 25 12 13
2.936168 0 0 0 | 0 0 0 | 0 0 | 0 0 | 1 1.1 -1 | 25 12 13
2.9461685 0 0 0 | 0 0 0 | 0 0 | 0 0 | 1 1.1 -1 | 25 12 13
2.9561691 0 0 0 | 0 0 0 | 0 0 | 0 0 | 1 1.1 -1 | 25 12 13
2.9661697 0 0 0 | 0 0 0 | 0 0 | 0 0 | 1 1.1 -1 | 25 12 13
2.9761703 0 0 0 | 0 0 0 | 0 0 | 0 0 | 1 1.1 -1 | 25 12 13
2.9861708 0 0 0 | 0 0 0 | 0 0 | 0 0 | 1 1.1 -1 | 25 12 13
2.9961714 0 0 0 | 0 0 0 | 0 0 | 0 0 | 1 1.1 -1 | 25 12 13
3.006172 0 0 0 | 0 0 0 | 0 0 | 0 0 | 1 1.1 -1 | 25 12 13
3.0161725 0 0 0 | 0 0 0 | 0 0 | 0 0 | 1 1.1 -1 | 25 12 13
3.0261731 0 0 0 | 0 0 0 | 0 0 | 0 0 | 1 1.1 -1 | 25 12 13
3.0361737 0 0 0 | 0 0 0 | 0 0 | 0 0 | 1 1.1 -1 | 25 12 13
3.0461743 0 0 0 | 0 0 0 | 0 0 | 0 0 | 1 1.1 -1 | 25 12 13
3.0561748 0 0 0 | 0 0 0 | 0 0 | 0 0 | 1 1.1 -1 | 25 12 13
3.0661754 0 0 0 | 0 0 0 | 0 0 | 0 0 | 1 1.1 -1 | 25 12 13
3.076176 0 0 0 | 0 0 0 | 0 0 | 0 0 | 1 1.1 -1 | 25 12 13
3.0861765 0 0 0 | 0 0 0 | 0 0 | 0 0 | 1 1.1 -1 | 25 12 13
3.0961771 0 0 0 | 0 0 0 | 0 0 | 0 0 | 1 1.1 -1 | 25 12 13
3.1061777 0 0 0 | 0 0 0 | 0 0 | 0 0 | 1 1.1 -1 | 25 12 13
3.1161783 0 0 0 | 0 0 0 | 0 0 | 0 0 | 1 1.1 -1 | 25 12 13
3.1261788 0 0 0 | 0 0 0 | 0 0 | 0 0 | 1 1.1 -1 | 25 12 13
3.1361794 0 0 0 | 0 0 0 | 0 0 | 0 0 | 1 1.1 -1 | 25 12 13
3.14618 0 0 0 | 0 0 0 | 0 0 | 0 0 | 1 1.1 -1 | 25 12 13
3.1561806 0 0 0 | 0 0 0 | 0 0 | 0 0 | 1 1.1 -1 | 25 12 13
3.1661811 0 0 0 | 0 0 0 | 0 0 | 0 0 | 1 1.1 -1 | 25 12 13
3.1761817 0 0 0 | 0 0 0 | 0 0 | 0 0 | 1 1.1 -1 | 25 12 13
3.1861823 0 0 0 | 0 0 0 | 0 0 | 0 0 | 1 1.1 -1 | 25 12 13
3.1961828 0 0 0 | 0 0 0 | 0 0 | 0 0 | 1 1.1 -1 | 25 12 13
3.2061834 0 0 0 | 0 0 0 | 0 0 | 0 0 | 1 1.1 -1 | 25 12 13
3.216184 0 0 0 | 0 0 0 | 0 0 | 0 0 | 1 1.1 -1 | 25 12 13
3.2261846 0 0 0 | 0 0 0 | 0 0 | 0 0 | 1 1.1 -1 | 25 12 13
3.2361851 0 0 0 | 0 0 0 | 0 0 | 0 0 | 1 1.1 -1 | 25 12 13
3.2461857 0 0 0 | 0 0 0 | 0 0 | 0 0 | 1 1.1 -1 | 25 12 13
3.2561863 0 0 0 | 0 0 0 | 0 0 | 0 0 | 1 1.1 -1 | 25 12 13
3.2661868 0 0 0 | 0 0 0 | 0 0 | 0 0 | 1 1.1 -1 | 25 12 13
3.2761874 0 0 0 | 0 0 0 | 0 0 | 0 0 | 1 1.1 -1 | 25 12 13
3.286188 0 0 0 | 0 0 0 | 0 0 | 0 0 | 1 1.1 -1 | 25 12 13
3.2961886 0 0 0 | 0 0 0 | 0 0 | 0 0 | 1 1.1 -1 | 25 12 13
3.3061891 0 0 0 | 0 0 0 | 0 0 | 0 0 | 1 1.1 -1 | 25 12 13
3.3161897 0 0 0 | 0 0 0 | 0 0 | 0 0 | 1 1.1 -1 | 25 12 13
3.3261903 0 0 0 | 0 0 0 | 0 0 | 0 0 | 1 1.1 -1 | 25 12 13
3.3361908 0 0 0 | 0 0 0 | 0 0 | 0 0 | 1 1.1 -1 | 25 12 13
3.3461914 0 0 0 | 0 0 0 | 0 0 | 0 0 | 1 1.1 -1 | 25 12 13
3.356192 0 0 0 | 0 0 0 | 0 0 | 0 0 | 1 1.1 -1 | 25 12 13
3.3661926 0 0 0 | 0 0 0 | 0 0 | 0 0 | 1 1.1 -1 | 25 12 13
3.3761931 0 0 0 | 0 0 0 | 0 0 | 0 0 | 1 1.1 -1 | 25 12 13
3.3861937 0 0 0 | 0 0 0 | 0 0 | 0 0 | 1 1.1 -1 | 25 12 13
3.3961943 0 0 0 | 0 0 0 | 0 0 | 0 0 | 1 1.1 -1 | 25 12 13
3.4061949 0 0 0 | 0 0 0 | 0 0 | 0 0 | 1 1.1 -1 | 25 12 13
3.4161954 0 0 0 | 0 0 0 | 0 0 | 0 0 | 1 1.1 -1 | 25 12 13
3.426196 0 0 0 | 0 0 0 | 0 0 | 0 0 | 1 1.1 -1 | 25 12 13
3.4361966 0 0 0 | 0 0 0 | 0 0 | 0 0 | 1 1.1 -1 | 25 12 13
3.4461971 0 0 0 | 0 0 0 | 0 0 | 0 0 | 1 1.1 -1 | 25 12 13
3.4561977 0 0 0 | 0 0 0 | 0 0 | 0 0 | 1 1.1 -1 | 25 12 13
3.4661983 0 0 0 | 0 0 0 | 0 0 | 0 0 | 1 1.1 -1 | 25 12 13
3.4761989 0 0 0 | 0 0 0 | 0 0 | 0 0 | 1 1.1 -1 | 25 12 13
3.4861994 0 0 0 | 0 0 0 | 0 0 | 0 0 | 1 1.1 -1 | 25 12 13
3.4962 0 0 0 | 0 0 0 | 0 0 | 0 0 | 1 1.1 -1 | 25 12 13
3.5062006 0 0 0 | 0 0 0 | 0 0 | 0 0 | 1 1.1 -1 | 25 12 13
3.5162011 0 0 0 | 0 0 0 | 0 0 | 0 0 | 1 1.1 -1 | 25 12 13
3.5262017 0 0 0 | 0 0 0 | 0 0 | 0 0 | 1 1.1 -1 | 25 12 13
3.5362023 0 0 0 | 0 0 0 | 0 0 | 0 0 | 1 1.1 -1 | 25 12 13
3.5462029 0 0 0 | 0 0 0 | 0 0 | 0 0 | 1 1.1 -1 | 25 12 13
3.5562034 0 0 0 | 0 0 0 | 0 0 | 0 0 | 1 1.1 -1 | 25 12 13
3.566204 0 0 0 | 0 0 0 | 0 0 | 0 0 | 1 1.1 -1 | 25 12 13
3.5762046 0 0 0 | 0 0 0 | 0 0 | 0 0 | 1 1.1 -1 | 25 12 13
3.5862051 0 0 0 | 0 0 0 | 0 0 | 0 0 | 1 1.1 -1 | 25 12 13
3.5962057 0 0 0 | 0 0 0 | 0 0 | 0 0 | 1 1.1 -1 | 25 12 13
3.6062063 0 0 0 | 0 0 0 | 0 0 | 0 0 | 1 1.1 -1 | 25 12 13
3.6162069 0 0 0 | 0 0 0 | 0 0 | 0 0 | 1 1.1 -1 | 25 12 13
3.6262074 0 0 0 | 0 0 0 | 0 0 | 0 0 | 1 1.1 -1 | 25 12 13
3.636208 0 0 0 | 0 0 0 | 0 0 | 0 0 | 1 1.1 -1 | 25 12 13
3.6462086 0 0 0 | 0 0 0 | 0 0 | 0 0 | 1 1.1 -1 | 25 12 13
3.6562092 0 0 0 | 0 0 0 | 0 0 | 0 0 | 1 1.1 -1 | 25 12 13
3.6662097 0 0 0 | 0 0 0 | 0 0 | 0 0 | 1 1.1 -1 | 25 12 13
3.6762103 0 0 0 | 0 0 0 | 0 0 | 0 0 | 1 1.1 -1 | 25 12 13
3.6862109 0 0 0 | 0 0 0 | 0 0 | 0 0 | 1 1.1 -1 | 25 12 13
3.6962114 0 0 0 | 0 0 0 | 0 0 | 0 0 | 1 1.1 -1 | 25 12 13
3.706212 0 0 0 | 0 0 0 | 0 0 | 0 0 | 1 1.1 -1 | 25 12 13
3.7162126 0 0 0 | 0 0 0 | 0 0 | 0 0 | 1 1.1 -1 | 25 12 13
3.7262132 0 0 0 | 0 0 0 | 0 0 | 0 0 | 1 1.1 -1 | 25 12 13
3.7362137 0 0 0 | 0 0 0 | 0 0 | 0 0 | 1 1.1 -1 | 25 12 13
3.7462143 0 0 0 | 0 0 0 | 0 0 | 0 0 | 1 1.1 -1 | 25 12 13
3.7562149 0 0 0 | 0 0 0 | 0 0 | 0 0 | 1 1.1 -1 | 25 12 13
3.7662154 0 0 0 | 0 0 0 | 0 0 | 0 0 | 1 1.1 -1 | 25 12 13
3.776216 0 0 0 | 0 0 0 | 0 0 | 0 0 | 1 1.1 -1 | 25 12 13
3.7862166 0 0 0 | 0 0 0 | 0 0 | 0 0 | 1 1.1 -1 | 25 12 13
3.7962172 0 0 0 | 0 0 0 | 0 0 | 0 0 | 1 1.1 -1 | 25 12 13
3.8062177 0 0 0 | 0 0 0 | 0 0 | 0 0 | 1 1.1 -1 | 25 12 13
3.8162183 0 0 0 | 0 0 0 | 0 0 | 0 0 | 1 1.1 -1 | 25 12 13
3.8262189 0 0 0 | 0 0 0 | 0 0 | 0 0 | 1 1.1 -1 | 25 12 13
3.8362194 0 0 0 | 0 0 0 | 0 0 | 0 0 | 1 1.1 -1 | 25 12 13
3.84622 0 0 0 | 0 0 0 | 0 0 | 0 0 | 1 1.1 -1 | 25 12 13
3.8562206 0 0 0 | 0 0 0 | 0 0 | 0 0 | 1 1.1 -1 | 25 12 13
3.8662212 0 0 0 | 0 0 0 | 0 0 | 0 0 | 1 1.1 -1 | 25 12 13
3.8762217 0 0 0 | 0 0 0 | 0 0 | 0 0 | 1 1.1 -1 | 25 12 13
3.8862223 0 0 0 | 0 0 0 | 0 0 | 0 0 | 1 1.1 -1 | 25 12 13
3.8962229 0 0 0 | 0 0 0 | 0 0 | 0 0 | 1 1.1 -1 | 25 12 13
3.9062235 0 0 0 | 0 0 0 | 0 0 | 0 0 | 1 1.1 -1 | 25 12 13
3.916224 0 0 0 | 0 0 0 | 0 0 | 0 0 | 1 1.1 -1 | 25 12 13
3.9262246 0 0 0 | 0 0 0 | 0 0 | 0 0 | 1 1.1 -1 | 25 12 13
3.9362252 0 0 0 | 0 0 0 | 0 0 | 0 0 | 1 1.1 -1 | 25 12 13
3.9462257 0 0 0 | 0 0 0 | 0 0 | 0 0 | 1 1.1 -1 | 25 12 13
3.9562263 0 0 0 | 0 0 0 | 0 0 | 0 0 | 1 1.1 -1 | 25 12 13
3.9662269 0 0 0 | 0 0 0 | 0 0 | 0 0 | 1 1.1 -1 | 25 12 13
3.9762275 0 0 0 | 0 0 0 | 0 0 | 0 0 | 1 1.1 -1 | 25 12 13
3.986228 0 0 0 | 0 0 0 | 0 0 | 0 0 | 1 1.1 -1 | 25 12 13
3.9962286 0 0 0 | 0 0 0 | 0 0 | 0 0 | 1 1.1 -1 | 25 12 13
4.0062292 0 0 0 | 0 0 0 | 0 0 | 0 0 | 1 1.1 -1 | 25 12 13
4.0162297 0 0 0 | 0 0 0 | 0 0 | 0 0 | 1 1.1 -1 | 25 12 13
4.0262303 0 0 0 | 0 0 0 | 0 0 | 0 0 | 1 1.1 -1 | 25 12 13
4.0362309 0 0 0 | 0 0 0 | 0 0 | 0 0 | 1 1.1 -1 | 25 12 13
4.0462315 0 0 0 | 0 0 0 | 0 0 | 0 0 | 1 1.1 -1 | 25 12 13
4.056232 0 0 0 | 0 0 0 | 0 0 | 0 0 | 1 1.1 -1 | 25 12 13
4.0662326 0 0 0 | 0 0 0 | 0 0 | 0 0 | 1 1.1 -1 | 25 12 13
4.0762332 0 0 0 | 0 0 0 | 0 0 | 0 0 | 1 1.1 -1 | 25 12 13
4.0862337 0 0 0 | 0 0 0 | 0 0 | 0 0 | 1 1.1 -1 | 25 12 13
4.0962343 0 0 0 | 0 0 0 | 0 0 | 0 0 | 1 1.1 -1 | 25 12 13
4.1062349 0 0 0 | 0 0 0 | 0 0 | 0 0 | 1 1.1 -1 | 25 12 13
4.1162355 0 0 0 | 0 0 0 | 0 0 | 0 0 | 1 1.1 -1 | 25 12 13
4.126236 0 0 0 | 0 0 0 | 0 0 | 0 0 | 1 1.1 -1 | 25 12 13
4.1362366 0 0 0 | 0 0 0 | 0 0 | 0 0 | 1 1.1 -1 | 25 12 13
4.1462372 0 0 0 | 0 0 0 | 0 0 | 0 0 | 1 1.1 -1 | 25 12 13
4.1562378 0 0 0 | 0 0 0 | 0 0 | 0 0 | 1 1.1 -1 | 25 12 13
4.1662383 0 0 0 | 0 0 0 | 0 0 | 0 0 | 1 1.1 -1 | 25 12 13
4.1762389 0 0 0 | 0 0 0 | 0 0 | 0 0 | 1 1.1 -1 | 25 12 13
4.1862395 0 0 0 | 0 0 0 | 0 0 | 0 0 | 1 1.1 -1 | 25 12 13
4.19624 0 0 0 | 0 0 0 | 0 0 | 0 0 | 1 1.1 -1 | 25 12 13
4.2062406 0 0 0 | 0 0 0 | 0 0 | 0 0 | 1 1.1 -1 | 25 12 13
4.2162412 0 0 0 | 0 0 0 | 0 0 | 0 0 | 1 1.1 -1 | 25 12 13
4.2262418 0 0 0 | 0 0 0 | 0 0 | 0 0 | 1 1.1 -1 | 25 12 13
4.2362423 0 0 0 | 0 0 0 | 0 0 | 0 0 | 1 1.1 -1 | 25 12 13
4.2462429 0 0 0 | 0 0 0 | 0 0 | 0 0 | 1 1.1 -1 | 25 12 13
4.2562435 0 0 0 | 0 0 0 | 0 0 | 0 0 | 1 1.1 -1 | 25 12 13
4.266244 0 0 0 | 0 0 0 | 0 0 | 0 0 | 1 1.1 -1 | 25 12 13
4.2762446 0 0 0 | 0 0 0 | 0 0 | 0 0 | 1 1.1 -1 | 25 12 13
4.2862452 0 0 0 | 0 0 0 | 0 0 | 0 0 | 1 1.1 -1 | 25 12 13
4.2962458 0 0 0 | 0 0 0 | 0 0 | 0 0 | 1 1.1 -1 | 25 12 13
4.3062463 0 0 0 | 0 0 0 | 0 0 | 0 0 | 1 1.1 -1 | 25 12 13
4.3162469 0 0 0 | 0 0 0 | 0 0 | 0 0 | 1 1.1 -1 | 25 12 13
4.3262475 0 0 0 | 0 0 0 | 0 0 | 0 0 | 1 1.1 -1 | 25 12 13
4.3992517 0 0 0 | 0 0 0 | 0 0 | 0 0 | 1 1.1 -1 | 25 12 13
4.4092522 0 0 0 | 0 0 0 | 0 0 | 0 0 | 2 1.1 -1 | 25 12 13
4.4192528 0 0 0 | 0 0 0 | 0 0 | 0 0 | 2 1.1 -1 | 25 12 13
4.4292534 0 0 0 | 0 0 0 | 0 0 | 0 0 | 2 1.1 -1 | 25 12 13
4.4392539 0 0 0 | 0 0 0 | 0 0 | 0 0 | 2 1.1 -1 | 25 12 13
4.4492545 0 0 0 | 0 0 0 | 0 0 | 0 0 | 2 1.1 -1 | 25 12 13
4.4592551 0 0 0 | 0 0 0 | 0 0 | 0 0 | 2 1.1 -1 | 25 12 13
4.4692557 0 0 0 | 0 0 0 | 0 0 | 0 0 | 2 1.1 -1 | 25 12 13
4.4792562 0 0 0 | 0 0 0 | 0 0 | 0 0 | 2 1.1 -1 | 25 12 13
4.4892568 0 0 0 | 0 0 0 | 0 0 | 0 0 | 2 1.1 -1 | 25 12 13
4.4992574 0 0 0 | 0 0 0 | 0 0 | 0 0 | 2 1.1 -1 | 25 12 13
4.5092579 0 0 0 | 0 0 0 | 0 0 | 0 0 | 2 1.1 -1 | 25 12 13
4.5192585 0 0 0 | 0 0 0 | 0 0 | 0 0 | 2 1.1 -1 | 25 12 13
4.5292591 0 0 0 | 0 0 0 | 0 0 | 0 0 | 2 1.1 -1 | 25 12 13
4.5392597 0 0 0 | 0 0 0 | 0 0 | 0 0 | 2 1.1 -1 | 25 12 13
4.5492602 0 0 0 | 0 0 0 | 0 0 | 0 0 | 2 1.1 -1 | 25 12 13
4.5592608 0 0 0 | 0 0 0 | 0 0 | 0 0 | 2 1.1 -1 | 25 12 13
4.5692614 0 0 0 | 0 0 0 | 0 0 | 0 0 | 2 1.1 -1 | 25 12 13
4.5792619 0 0 0 | 0 0 0 | 0 0 | 0 0 | 2 1.1 -1 | 25 12 13
4.5892625 0 0 0 | 0 0 0 | 0 0 | 0 0 | 2 1.1 -1 | 25 12 13
4.5992631 0 0 0 | 0 0 0 | 0 0 | 0 0 | 2 1.1 -1 | 25 12 13
4.6092637 0 0 0 | 0 0 0 | 0 0 | 0 0 | 2 1.1 -1 | 25 12 13
4.6192642 0 0 0 | 0 0 0 | 0 0 | 0 0 | 2 1.1 -1 | 25 12 13
4.6292648 0 0 0 | 0 0 0 | 0 0 | 0 0 | 2 1.1 -1 | 25 12 13
4.6392654 0 0 0 | 0 0 0 | 0 0 | 0 0 | 2 1.1 -1 | 25 12 13
4.649266 0 0 0 | 0 0 0 | 0 0 | 0 0 | 2 1.1 -1 | 25 12 13
4.6592665 0 0 0 | 0 0 0 | 0 0 | 0 0 | 2 1.1 -1 | 25 12 13
4.6692671 0 0 0 | 0 0 0 | 0 0 | 0 0 | 2 1.1 -1 | 25 12 13
4.6792677 0 0 0 | 0 0 0 | 0 0 | 0 0 | 2 1.1 -1 | 25 12 13
4.6892682 0 0 0 | 0 0 0 | 0 0 | 0 0 | 2 1.1 -1 | 25 12 13
4.6992688 0 0 0 | 0 0 0 | 0 0 | 0 0 | 2 1.1 -1 | 25 12 13
4.7092694 0 0 0 | 0 0 0 | 0 0 | 0 0 | 2 1.1 -1 | 25 12 13
4.71927 0 0 0 | 0 0 0 | 0 0 | 0 0 | 2 1.1 -1 | 25 12 13
4.7292705 0 0 0 | 0 0 0 | 0 0 | 0 0 | 2 1.1 -1 | 25 12 13
4.7392711 0 0 0 | 0 0 0 | 0 0 | 0 0 | 2 1.1 -1 | 25 12 13
4.7492717 0 0 0 | 0 0 0 | 0 0 | 0 0 | 2 1.1 -1 | 25 12 13
4.7592722 0 0 0 | 0 0 0 | 0 0 | 0 0 | 2 1.1 -1 | 25 12 13
4.7692728 0 0 0 | 0 0 0 | 0 0 | 0 0 | 2 1.1 -1 | 25 12 13
4.7792734 0 0 0 | 0 0 0 | 0 0 | 0 0 | 2 1.1 -1 | 25 12 13
4.789274 0 0 0 | 0 0 0 | 0 0 | 0 0 | 2 1.1 -1 | 25 12 13
4.7992745 0 0 0 | 0 0 0 | 0 0 | 0 0 | 2 1.1 -1 | 25 12 13
4.8092751 0 0 0 | 0 0 0 | 0 0 | 0 0 | 2 1.1 -1 | 25 12 13
4.8192757 0 0 0 | 0 0 0 | 0 0 | 0 0 | 2 1.1 -1 | 25 12 13
4.8292762 0 0 0 | 0 0 0 | 0 0 | 0 0 | 2 1.1 -1 | 25 12 13
4.8392768 0 0 0 | 0 0 0 | 0 0 | 0 0 | 2 1.1 -1 | 25 12 13
4.8492774 0 0 0 | 0 0 0 | 0 0 | 0 0 | 2 1.1 -1 | 25 12 13
4.859278 0 0 0 | 0 0 0 | 0 0 | 0 0 | 2 1.1 -1 | 25 12 13
4.8692785 0 0 0 | 0 0 0 | 0 0 | 0 0 | 2 1.1 -1 | 25 12 13
4.8792791 0 0 0 | 0 0 0 | 0 0 | 0 0 | 2 1.1 -1 | 25 12 13
4.8892797 0 0 0 | 0 0 0 | 0 0 | 0 0 | 2 1.1 -1 | 25 12 13
4.8992803 0 0 0 | 0 0 0 | 0 0 | 0 0 | 2 1.1 -1 | 25 12 13
4.9092808 0 0 0 | 0 0 0 | 0 0 | 0 0 | 2 1.1 -1 | 25 12 13
4.9192814 0 0 0 | 0 0 0 | 0 0 | 0 0 | 2 1.1 -1 | 25 12 13
4.929282 0 0 0 | 0 0 0 | 0 0 | 0 0 | 2 1.1 -1 | 25 12 13
4.9392825 0 0 0 | 0 0 0 | 0 0 | 0 0 | 2 1.1 -1 | 25 12 13
4.9492831 0 0 0 | 0 0 0 | 0 0 | 0 0 | 2 1.1 -1 | 25 12 13
4.9592837 0 0 0 | 0 0 0 | 0 0 | 0 0 | 2 1.1 -1 | 25 12 13
4.9692843 0 0 0 | 0 0 0 | 0 0 | 0 0 | 2 1.1 -1 | 25 12 13
4.9792848 0 0 0 | 0 0 0 | 0 0 | 0 0 | 2 1.1 -1 | 25 12 13
4.9892854 0 0 0 | 0 0 0 | 0 0 | 0 0 | 2 1.1 -1 | 25 12 13
4.999286 0 0 0 | 0 0 0 | 0 0 | 0 0 | 2 1.1 -1 | 25 12 13
5.0092865 0 0 0 | 0 0 0 | 0 0 | 0 0 | 2 1.1 -1 | 25 12 13
5.0192871 0 0 0 | 0 0 0 | 0 0 | 0 0 | 2 1.1 -1 | 25 12 13
5.0292877 0 0 0 | 0 0 0 | 0 0 | 0 0 | 2 1.1 -1 | 25 12 13
5.0392883 0 0 0 | 0 0 0 | 0 0 | 0 0 | 2 1.1 -1 | 25 12 13
5.0492888 0 0 0 | 0 0 0 | 0 0 | 0 0 | 2 1.1 -1 | 25 12 13
5.0592894 0 0 0 | 0 0 0 | 0 0 | 0 0 | 2 1.1 -1 | 25 12 13
5.06929 0 0 0 | 0 0 0 | 0 0 | 0 0 | 2 1.1 -1 | 25 12 13
5.0792905 0 0 0 | 0 0 0 | 0 0 | 0 0 | 2 1.1 -1 | 25 12 13
5.0892911 0 0 0 | 0 0 0 | 0 0 | 0 0 | 2 1.1 -1 | 25 12 13
5.0992917 0 0 0 | 0 0 0 | 0 0 | 0 0 | 2 1.1 -1 | 25 12 13
5.1092923 0 0 0 | 0 0 0 | 0 0 | 0 0 | 2 1.1 -1 | 25 12 13
5.1192928 0 0 0 | 0 0 0 | 0 0 | 0 0 | 2 1.1 -1 | 25 12 13
5.1292934 0 0 0 | 0 0 0 | 0 0 | 0 0 | 2 1.1 -1 | 25 12 13
5.139294 0 0 0 | 0 0 0 | 0 0 | 0 0 | 2 1.1 -1 | 25 12 13
5.1492946 0 0 0 | 0 0 0 | 0 0 | 0 0 | 2 1.1 -1 | 25 12 13
5.1592951 0 0 0 | 0 0 0 | 0 0 | 0 0 | 2 1.1 -1 | 25 12 13
5.1692957 0 0 0 | 0 0 0 | 0 0 | 0 0 | 2 1.1 -1 | 25 12 13
5.1792963 0 0 0 | 0 0 0 | 0 0 | 0 0 | 2 1.1 -1 | 25 12 13
5.1892968 0 0 0 | 0 0 0 | 0 0 | 0 0 | 2 1.1 -1 | 25 12 13
5.1992974 0 0 0 | 0 0 0 | 0 0 | 0 0 | 2 1.1 -1 | 25 12 13
5.209298 0 0 0 | 0 0 0 | 0 0 | 0 0 | 2 1.1 -1 | 25 12 13
5.2192986 0 0 0 | 0 0 0 | 0 0 | 0 0 | 2 1.1 -1 | 25 12 13
5.2292991 0 0 0 | 0 0 0 | 0 0 | 0 0 | 2 1.1 -1 | 25 12 13
5.2392997 0 0 0 | 0 0 0 | 0 0 | 0 0 | 2 1.1 -1 | 25 12 13
5.2493003 0 0 0 | 0 0 0 | 0 0 | 0 0 | 2 1.1 -1 | 25 12 13
5.2593008 0 0 0 | 0 0 0 | 0 0 | 0 0 | 2 1.1 -1 | 25 12 13
5.2693014 0 0 0 | 0 0 0 | 0 0 | 0 0 | 2 1.1 -1 | 25 12 13
5.279302 0 0 0 | 0 0 0 | 0 0 | 0 0 | 2 1.1 -1 | 25 12 13
5.2893026 0 0 0 | 0 0 0 | 0 0 | 0 0 | 2 1.1 -1 | 25 12 13
5.2993031 0 0 0 | 0 0 0 | 0 0 | 0 0 | 2 1.1 -1 | 25 12 13
5.3093037 0 0 0 | 0 0 0 | 0 0 | 0 0 | 2 1.1 -1 | 25 12 13
5.3193043 0 0 0 | 0 0 0 | 0 0 | 0 0 | 2 1.1 -1 | 25 12 13
5.3293048 0 0 0 | 0 0 0 | 0 0 | 0 0 | 2 1.1 -1 | 25 12 13
5.3393054 0 0 0 | 0 0 0 | 0 0 | 0 0 | 2 1.1 -1 | 25 12 13
5.349306 0 0 0 | 0 0 0 | 0 0 | 0 0 | 2 1.1 -1 | 25 12 13
5.3593066 0 0 0 | 0 0 0 | 0 0 | 0 0 | 2 1.1 -1 | 25 12 13
5.3693071 0 0 0 | 0 0 0 | 0 0 | 0 0 | 2 1.1 -1 | 25 12 13
5.3793077 0 0 0 | 0 0 0 | 0 0 | 0 0 | 2 1.1 -1 | 25 12 13
5.3893083 0 0 0 | 0 0 0 | 0 0 | 0 0 | 2 1.1 -1 | 25 12 13
5.3993089 0 0 0 | 0 0 0 | 0 0 | 0 0 | 2 1.1 -1 | 25 12 13
5.4093094 0 0 0 | 0 0 0 | 0 0 | 0 0 | 2 1.1 -1 | 25 12 13
5.41931 0 0 0 | 0 0 0 | 0 0 | 0 0 | 2 1.1 -1 | 25 12 13
5.4293106 0 0 0 | 0 0 0 | 0 0 | 0 0 | 2 1.1 -1 | 25 12 13
5.4393111 0 0 0 | 0 0 0 | 0 0 | 0 0 | 2 1.1 -1 | 25 12 13
5.4493117 0 0 0 | 0 0 0 | 0 0 | 0 0 | 2 1.1 -1 | 25 12 13
5.4593123 0 0 0 | 0 0 0 | 0 0 | 0 0 | 2 1.1 -1 | 25 12 13
5.4693129 0 0 0 | 0 0 0 | 0 0 | 0 0 | 2 1.1 -1 | 25 12 13
5.4793134 0 0 0 | 0 0 0 | 0 0 | 0 0 | 2 1.1 -1 | 25 12 13
5.489314 0 0 0 | 0 0 0 | 0 0 | 0 0 | 2 1.1 -1 | 25 12 13
5.4993146 0 0 0 | 0 0 0 | 0 0 | 0 0 | 2 1.1 -1 | 25 12 13
5.5093151 0 0 0 | 0 0 0 | 0 0 | 0 0 | 2 1.1 -1 | 25 12 13
5.5193157 0 0 0 | 0 0 0 | 0 0 | 0 0 | 2 1.1 -1 | 25 12 13
5.5293163 0 0 0 | 0 0 0 | 0 0 | 0 0 | 2 1.1 -1 | 25 12 13
5.5393169 0 0 0 | 0 0 0 | 0 0 | 0 0 | 2 1.1 -1 | 25 12 13
