0.0050003 0 0 0 | 0 0 0 | 0 0 | 0 0 | 1 1.1 -1
3.2551862 0 0 0 | 0 0 0 | 0 0 | 0 0 | 1 1.1 -1
3.2651867 0 0 0 | 0 0 0 | 0 0 | 0 0 | 1 1.1 -1
3.2751873 0 0 0 | 0 0 0 | 0 0 | 0 0 | 1 1.1 -1
3.2851879 0 0 0 | 0 0 0 | 0 0 | 0 0 | 1 1.1 -1
3.2951884 0 0 0 | 0 0 0 | 0 0 | 0 0 | 1 1.1 -1
3.305189 0 0 0 | 0 0 0 | 0 0 | 0 0 | 1 1.1 -1
3.3151896 0 0 0 | 0 0 0 | 0 0 | 0 0 | 1 1.1 -1
3.3251902 0 0 0 | 0 0 0 | 0 0 | 0 0 | 1 1.1 -1
3.3351907 0 0 0 | 0 0 0 | 0 0 | 0 0 | 1 1.1 -1
3.3451913 0 0 0 | 0 0 0 | 0 0 | 0 0 | 1 1.1 -1
3.3551919 0 0 0 | 0 0 0 | 0 0 | 0 0 | 1 1.1 -1
3.3651924 0 0 0 | 0 0 0 | 0 0 | 0 0 | 1 1.1 -1
3.375193 0 0 0 | 0 0 0 | 0 0 | 0 0 | 1 1.1 -1
3.3851936 0 0 0 | 0 0 0 | 0 0 | 0 0 | 1 1.1 -1
3.3951942 0 0 0 | 0 0 0 | 0 0 | 0 0 | 1 1.1 -1
3.4051947 0 0 0 | 0 0 0 | 0 0 | 0 0 | 1 1.1 -1
3.4151953 0 0 0 | 0 0 0 | 0 0 | 0 0 | 1 1.1 -1
3.4251959 0 0 0 | 0 0 0 | 0 0 | 0 0 | 1 1.1 -1
3.4351964 0 0 0 | 0 0 0 | 0 0 | 0 0 | 1 1.1 -1
3.445197 0 0 0 | 0 0 0 | 0 0 | 0 0 | 1 1.1 -1
3.4551976 0 0 0 | 0 0 0 | 0 0 | 0 0 | 1 1.1 -1
3.4651982 0 0 0 | 0 0 0 | 0 0 | 0 0 | 1 1.1 -1
3.4751987 0 0 0 | 0 0 0 | 0 0 | 0 0 | 1 1.1 -1
3.4851993 0 0 0 | 0 0 0 | 0 0 | 0 0 | 1 1.1 -1
3.4951999 0 0 0 | 0 0 0 | 0 0 | 0 0 | 1 1.1 -1
3.5052005 0 0 0 | 0 0 0 | 0 0 | 0 0 | 1 1.1 -1
3.515201 0 0 0 | 0 0 0 | 0 0 | 0 0 | 1 1.1 -1
3.5252016 0 0 0 | 0 0 0 | 0 0 | 0 0 | 1 1.1 -1
3.5352022 0 0 0 | 0 0 0 | 0 0 | 0 0 | 1 1.1 -1
3.5452027 0 0 0 | 0 0 0 | 0 0 | 0 0 | 1 1.1 -1
3.5552033 0 0 0 | 0 0 0 | 0 0 | 0 0 | 1 1.1 -1
3.5652039 0 0 0 | 0 0 0 | 0 0 | 0 0 | 1 1.1 -1
3.5752045 0 0 0 | 0 0 0 | 0 0 | 0 0 | 1 1.1 -1
3.585205 0 0 0 | 0 0 0 | 0 0 | 0 0 | 1 1.1 -1
3.5952056 0 0 0 | 0 0 0 | 0 0 | 0 0 | 1 1.1 -1
3.6052062 0 0 0 | 0 0 0 | 0 0 | 0 0 | 1 1.1 -1
3.6152067 0 0 0 | 0 0 0 | 0 0 | 0 0 | 1 1.1 -1
3.6252073 0 0 0 | 0 0 0 | 0 0 | 0 0 | 1 1.1 -1
3.6352079 0 0 0 | 0 0 0 | 0 0 | 0 0 | 1 1.1 -1
3.6452085 0 0 0 | 0 0 0 | 0 0 | 0 0 | 1 1.1 -1
3.655209 0 0 0 | 0 0 0 | 0 0 | 0 0 | 1 1.1 -1
3.6652096 0 0 0 | 0 0 0 | 0 0 | 0 0 | 1 1.1 -1
3.6752102 0 0 0 | 0 0 0 | 0 0 | 0 0 | 1 1.1 -1
3.6852107 0 0 0 | 0 0 0 | 0 0 | 0 0 | 1 1.1 -1
3.6952113 0 0 0 | 0 0 0 | 0 0 | 0 0 | 1 1.1 -1
3.7052119 0 0 0 | 0 0 0 | 0 0 | 0 0 | 1 1.1 -1
3.7152125 0 0 0 | 0 0 0 | 0 0 | 0 0 | 1 1.1 -1
3.725213 0 0 0 | 0 0 0 | 0 0 | 0 0 | 1 1.1 -1
3.7352136 0 0 0 | 0 0 0 | 0 0 | 0 0 | 1 1.1 -1
3.7452142 0 0 0 | 0 0 0 | 0 0 | 0 0 | 1 1.1 -1
3.7552148 0 0 0 | 0 0 0 | 0 0 | 0 0 | 1 1.1 -1
3.7652153 0 0 0 | 0 0 0 | 0 0 | 0 0 | 1 1.1 -1
3.7752159 0 0 0 | 0 0 0 | 0 0 | 0 0 | 1 1.1 -1
3.7852165 0 0 0 | 0 0 0 | 0 0 | 0 0 | 1 1.1 -1
3.795217 0 0 0 | 0 0 0 | 0 0 | 0 0 | 1 1.1 -1
3.8052176 0 0 0 | 0 0 0 | 0 0 | 0 0 | 1 1.1 -1
3.8152182 0 0 0 | 0 0 0 | 0 0 | 0 0 | 1 1.1 -1
3.8252188 0 0 0 | 0 0 0 | 0 0 | 0 0 | 1 1.1 -1
3.8352193 0 0 0 | 0 0 0 | 0 0 | 0 0 | 1 1.1 -1
3.8452199 0 0 0 | 0 0 0 | 0 0 | 0 0 | 1 1.1 -1
3.8552205 0 0 0 | 0 0 0 | 0 0 | 0 0 | 1 1.1 -1
3.865221 0 0 0 | 0 0 0 | 0 0 | 0 0 | 1 1.1 -1
3.8752216 0 0 0 | 0 0 0 | 0 0 | 0 0 | 1 1.1 -1
3.8852222 0 0 0 | 0 0 0 | 0 0 | 0 0 | 1 1.1 -1
3.8952228 0 0 0 | 0 0 0 | 0 0 | 0 0 | 1 1.1 -1
3.9052233 0 0 0 | 0 0 0 | 0 0 | 0 0 | 1 1.1 -1
3.9152239 0 0 0 | 0 0 0 | 0 0 | 0 0 | 1 1.1 -1
3.9252245 0 0 0 | 0 0 0 | 0 0 | 0 0 | 1 1.1 -1
3.935225 0 0 0 | 0 0 0 | 0 0 | 0 0 | 1 1.1 -1
3.9452256 0 0 0 | 0 0 0 | 0 0 | 0 0 | 1 1.1 -1
3.9552262 0 0 0 | 0 0 0 | 0 0 | 0 0 | 1 1.1 -1
3.9652268 0 0 0 | 0 0 0 | 0 0 | 0 0 | 1 1.1 -1
3.9752273 0 0 0 | 0 0 0 | 0 0 | 0 0 | 1 1.1 -1
3.9852279 0 0 0 | 0 0 0 | 0 0 | 0 0 | 1 1.1 -1
3.9952285 0 0 0 | 0 0 0 | 0 0 | 0 0 | 1 1.1 -1
4.0052291 0 0 0 | 0 0 0 | 0 0 | 0 0 | 1 1.1 -1
4.0152296 0 0 0 | 0 0 0 | 0 0 | 0 0 | 1 1.1 -1
4.0252302 0 0 0 | 0 0 0 | 0 0 | 0 0 | 1 1.1 -1
4.0352308 0 0 0 | 0 0 0 | 0 0 | 0 0 | 1 1.1 -1
4.0452313 0 0 0 | 0 0 0 | 0 0 | 0 0 | 1 1.1 -1
4.0552319 0 0 0 | 0 0 0 | 0 0 | 0 0 | 1 1.1 -1
4.0652325 0 0 0 | 0 0 0 | 0 0 | 0 0 | 1 1.1 -1
4.0752331 0 0 0 | 0 0 0 | 0 0 | 0 0 | 1 1.1 -1
4.0852336 0 0 0 | 0 0 0 | 0 0 | 0 0 | 1 1.1 -1
4.0952342 0 0 0 | 0 0 0 | 0 0 | 0 0 | 1 1.1 -1
4.1052348 0 0 0 | 0 0 0 | 0 0 | 0 0 | 1 1.1 -1
4.1152353 0 0 0 | 0 0 0 | 0 0 | 0 0 | 1 1.1 -1
4.1252359 0 0 0 | 0 0 0 | 0 0 | 0 0 | 1 1.1 -1
4.1352365 0 0 0 | 0 0 0 | 0 0 | 0 0 | 1 1.1 -1
4.1452371 0 0 0 | 0 0 0 | 0 0 | 0 0 | 1 1.1 -1
4.1552376 0 0 0 | 0 0 0 | 0 0 | 0 0 | 1 1.1 -1
4.1652382 0 0 0 | 0 0 0 | 0 0 | 0 0 | 1 1.1 -1
4.1752388 0 0 0 | 0 0 0 | 0 0 | 0 0 | 1 1.1 -1
4.1852393 0 0 0 | 0 0 0 | 0 0 | 0 0 | 1 1.1 -1
4.1952399 0 0 0 | 0 0 0 | 0 0 | 0 0 | 1 1.1 -1
4.2052405 0 0 0 | 0 0 0 | 0 0 | 0 0 | 1 1.1 -1
4.2152411 0 0 0 | 0 0 0 | 0 0 | 0 0 | 1 1.1 -1
4.2252416 0 0 0 | 0 0 0 | 0 0 | 0 0 | 1 1.1 -1
4.2352422 0 0 0 | 0 0 0 | 0 0 | 0 0 | 1 1.1 -1
4.2452428 0 0 0 | 0 0 0 | 0 0 | 0 0 | 1 1.1 -1
4.2552434 0 0 0 | 0 0 0 | 0 0 | 0 0 | 1 1.1 -1
4.2652439 0 0 0 | 0 0 0 | 0 0 | 0 0 | 1 1.1 -1
4.2752445 0 0 0 | 0 0 0 | 0 0 | 0 0 | 1 1.1 -1
4.2852451 0 0 0 | 0 0 0 | 0 0 | 0 0 | 1 1.1 -1
4.2952456 0 0 0 | 0 0 0 | 0 0 | 0 0 | 1 1.1 -1
4.3052462 0 0 0 | 0 0 0 | 0 0 | 0 0 | 1 1.1 -1
4.3152468 0 0 0 | 0 0 0 | 0 0 | 0 0 | 1 1.1 -1
4.3252474 0 0 0 | 0 0 0 | 0 0 | 0 0 | 1 1.1 -1
4.3352479 0 0 0 | 0 0 0 | 0 0 | 0 0 | 1 1.1 -1
4.3452485 0 0 0 | 0 0 0 | 0 0 | 0 0 | 1 1.1 -1
4.3552491 0 0 0 | 0 0 0 | 0 0 | 0 0 | 1 1.1 -1
4.3652496 0 0 0 | 0 0 0 | 0 0 | 0 0 | 1 1.1 -1
4.3752502 0 0 0 | 0 0 0 | 0 0 | 0 0 | 1 1.1 -1
4.3852508 0 0 0 | 0 0 0 | 0 0 | 0 0 | 1 1.1 -1
4.3952514 0 0 0 | 0 0 0 | 0 0 | 0 0 | 1 1.1 -1
4.4052519 0 0 0 | 0 0 0 | 0 0 | 0 0 | 1 1.1 -1
4.4152525 0 0 0 | 0 0 0 | 0 0 | 0 0 | 1 1.1 -1
4.4252531 0 0 0 | 0 0 0 | 0 0 | 0 0 | 1 1.1 -1
4.4352536 0 0 0 | 0 0 0 | 0 0 | 0 0 | 1 1.1 -1
4.4452542 0 0 0 | 0 0 0 | 0 0 | 0 0 | 1 1.1 -1
4.4552548 0 0 0 | 0 0 0 | 0 0 | 0 0 | 1 1.1 -1
4.4652554 0 0 0 | 0 0 0 | 0 0 | 0 0 | 1 1.1 -1
4.4752559 0 0 0 | 0 0 0 | 0 0 | 0 0 | 1 1.1 -1
4.4852565 0 0 0 | 0 0 0 | 0 0 | 0 0 | 1 1.1 -1
4.4952571 0 0 0 | 0 0 0 | 0 0 | 0 0 | 1 1.1 -1
4.5052577 0 0 0 | 0 0 0 | 0 0 | 0 0 | 1 1.1 -1
4.5152582 0 0 0 | 0 0 0 | 0 0 | 0 0 | 1 1.1 -1
4.5252588 0 0 0 | 0 0 0 | 0 0 | 0 0 | 1 1.1 -1
4.5352594 0 0 0 | 0 0 0 | 0 0 | 0 0 | 1 1.1 -1
4.5452599 0 0 0 | 0 0 0 | 0 0 | 0 0 | 1 1.1 -1
4.5552605 0 0 0 | 0 0 0 | 0 0 | 0 0 | 1 1.1 -1
4.5652611 0 0 0 | 0 0 0 | 0 0 | 0 0 | 1 1.1 -1
4.5752617 0 0 0 | 0 0 0 | 0 0 | 0 0 | 1 1.1 -1
4.5852622 0 0 0 | 0 0 0 | 0 0 | 0 0 | 1 1.1 -1
4.5952628 0 0 0 | 0 0 0 | 0 0 | 0 0 | 1 1.1 -1
4.6052634 0 0 0 | 0 0 0 | 0 0 | 0 0 | 1 1.1 -1
4.6152639 0 0 0 | 0 0 0 | 0 0 | 0 0 | 1 1.1 -1
4.6252645 0 0 0 | 0 0 0 | 0 0 | 0 0 | 1 1.1 -1
4.6352651 0 0 0 | 0 0 0 | 0 0 | 0 0 | 1 1.1 -1
4.6452657 0 0 0 | 0 0 0 | 0 0 | 0 0 | 1 1.1 -1
4.6552662 0 0 0 | 0 0 0 | 0 0 | 0 0 | 1 1.1 -1
4.6652668 0 0 0 | 0 0 0 | 0 0 | 0 0 | 1 1.1 -1
4.6752674 0 0 0 | 0 0 0 | 0 0 | 0 0 | 1 1.1 -1
4.6852679 0 0 0 | 0 0 0 | 0 0 | 0 0 | 1 1.1 -1
4.6952685 0 0 0 | 0 0 0 | 0 0 | 0 0 | 1 1.1 -1
4.7052691 0 0 0 | 0 0 0 | 0 0 | 0 0 | 1 1.1 -1
4.7152697 0 0 0 | 0 0 0 | 0 0 | 0 0 | 1 1.1 -1
4.7252702 0 0 0 | 0 0 0 | 0 0 | 0 0 | 1 1.1 -1
4.7352708 0 0 0 | 0 0 0 | 0 0 | 0 0 | 1 1.1 -1
4.7452714 0 0 0 | 0 0 0 | 0 0 | 0 0 | 1 1.1 -1
4.755272 0 0 0 | 0 0 0 | 0 0 | 0 0 | 1 1.1 -1
4.7652725 0 0 0 | 0 0 0 | 0 0 | 0 0 | 1 1.1 -1
4.7752731 0 0 0 | 0 0 0 | 0 0 | 0 0 | 1 1.1 -1
4.7852737 0 0 0 | 0 0 0 | 0 0 | 0 0 | 1 1.1 -1
4.7952742 0 0 0 | 0 0 0 | 0 0 | 0 0 | 1 1.1 -1
4.8052748 0 0 0 | 0 0 0 | 0 0 | 0 0 | 1 1.1 -1
4.8152754 0 0 0 | 0 0 0 | 0 0 | 0 0 | 1 1.1 -1
4.825276 0 0 0 | 0 0 0 | 0 0 | 0 0 | 1 1.1 -1
4.8352765 0 0 0 | 0 0 0 | 0 0 | 0 0 | 1 1.1 -1
4.8452771 0 0 0 | 0 0 0 | 0 0 | 0 0 | 1 1.1 -1
4.8552777 0 0 0 | 0 0 0 | 0 0 | 0 0 | 1 1.1 -1
4.8652782 0 0 0 | 0 0 0 | 0 0 | 0 0 | 1 1.1 -1
4.8752788 0 0 0 | 0 0 0 | 0 0 | 0 0 | 1 1.1 -1
4.8852794 0 0 0 | 0 0 0 | 0 0 | 0 0 | 1 1.1 -1
4.89528 0 0 0 | 0 0 0 | 0 0 | 0 0 | 1 1.1 -1
4.9052805 0 0 0 | 0 0 0 | 0 0 | 0 0 | 1 1.1 -1
4.9152811 0 0 0 | 0 0 0 | 0 0 | 0 0 | 1 1.1 -1
4.9252817 0 0 0 | 0 0 0 | 0 0 | 0 0 | 1 1.1 -1
4.9352822 0 0 0 | 0 0 0 | 0 0 | 0 0 | 1 1.1 -1
4.9452828 0 0 0 | 0 0 0 | 0 0 | 0 0 | 1 1.1 -1
4.9552834 0 0 0 | 0 0 0 | 0 0 | 0 0 | 1 1.1 -1
4.965284 0 0 0 | 0 0 0 | 0 0 | 0 0 | 1 1.1 -1
4.9752845 0 0 0 | 0 0 0 | 0 0 | 0 0 | 1 1.1 -1
4.9852851 0 0 0 | 0 0 0 | 0 0 | 0 0 | 1 1.1 -1
4.9952857 0 0 0 | 0 0 0 | 0 0 | 0 0 | 1 1.1 -1
5.0052863 0 0 0 | 0 0 0 | 0 0 | 0 0 | 1 1.1 -1
5.0152868 0 0 0 | 0 0 0 | 0 0 | 0 0 | 1 1.1 -1
5.0252874 0 0 0 | 0 0 0 | 0 0 | 0 0 | 1 1.1 -1
5.035288 0 0 0 | 0 0 0 | 0 0 | 0 0 | 1 1.1 -1
5.0452885 0 0 0 | 0 0 0 | 0 0 | 0 0 | 1 1.1 -1
5.0552891 0 0 0 | 0 0 0 | 0 0 | 0 0 | 1 1.1 -1
5.0652897 0 0 0 | 0 0 0 | 0 0 | 0 0 | 1 1.1 -1
5.0752903 0 0 0 | 0 0 0 | 0 0 | 0 0 | 1 1.1 -1
5.0852908 0 0 0 | 0 0 0 | 0 0 | 0 0 | 1 1.1 -1
5.0952914 0 0 0 | 0 0 0 | 0 0 | 0 0 | 1 1.1 -1
5.105292 0 0 0 | 0 0 0 | 0 0 | 0 0 | 1 1.1 -1
5.1152925 0 0 0 | 0 0 0 | 0 0 | 0 0 | 1 1.1 -1
5.1252931 0 0 0 | 0 0 0 | 0 0 | 0 0 | 1 1.1 -1
5.1352937 0 0 0 | 0 0 0 | 0 0 | 0 0 | 1 1.1 -1
5.1452943 0 0 0 | 0 0 0 | 0 0 | 0 0 | 1 1.1 -1
5.1552948 0 0 0 | 0 0 0 | 0 0 | 0 0 | 1 1.1 -1
5.1652954 0 0 0 | 0 0 0 | 0 0 | 0 0 | 1 1.1 -1
5.175296 0 0 0 | 0 0 0 | 0 0 | 0 0 | 1 1.1 -1
5.1852965 0 0 0 | 0 0 0 | 0 0 | 0 0 | 1 1.1 -1
5.1952971 0 0 0 | 0 0 0 | 0 0 | 0 0 | 1 1.1 -1
5.2052977 0 0 0 | 0 0 0 | 0 0 | 0 0 | 1 1.1 -1
5.2152983 0 0 0 | 0 0 0 | 0 0 | 0 0 | 1 1.1 -1
5.2252988 0 0 0 | 0 0 0 | 0 0 | 0 0 | 1 1.1 -1
5.2352994 0 0 0 | 0 0 0 | 0 0 | 0 0 | 1 1.1 -1
5.2453 0 0 0 | 0 0 0 | 0 0 | 0 0 | 1 1.1 -1
5.2553006 0 0 0 | 0 0 0 | 0 0 | 0 0 | 1 1.1 -1
5.2653011 0 0 0 | 0 0 0 | 0 0 | 0 0 | 1 1.1 -1
5.2753017 0 0 0 | 0 0 0 | 0 0 | 0 0 | 1 1.1 -1
5.2853023 0 0 0 | 0 0 0 | 0 0 | 0 0 | 1 1.1 -1
5.2953028 0 0 0 | 0 0 0 | 0 0 | 0 0 | 1 1.1 -1
5.3053034 0 0 0 | 0 0 0 | 0 0 | 0 0 | 1 1.1 -1
5.315304 0 0 0 | 0 0 0 | 0 0 | 0 0 | 1 1.1 -1
5.3253046 0 0 0 | 0 0 0 | 0 0 | 0 0 | 1 1.1 -1
5.3353051 0 0 0 | 0 0 0 | 0 0 | 0 0 | 1 1.1 -1
5.3453057 0 0 0 | 0 0 0 | 0 0 | 0 0 | 1 1.1 -1
5.3553063 0 0 0 | 0 0 0 | 0 0 | 0 0 | 1 1.1 -1
5.3653068 0 0 0 | 0 0 0 | 0 0 | 0 0 | 1 1.1 -1
5.3753074 0 0 0 | 0 0 0 | 0 0 | 0 0 | 1 1.1 -1
5.385308 0 0 0 | 0 0 0 | 0 0 | 0 0 | 1 1.1 -1
5.3953086 0 0 0 | 0 0 0 | 0 0 | 0 0 | 1 1.1 -1
5.4053091 0 0 0 | 0 0 0 | 0 0 | 0 0 | 1 1.1 -1
5.4153097 0 0 0 | 0 0 0 | 0 0 | 0 0 | 1 1.1 -1
5.4253103 0 0 0 | 0 0 0 | 0 0 | 0 0 | 1 1.1 -1
5.4353108 0 0 0 | 0 0 0 | 0 0 | 0 0 | 1 1.1 -1
5.4453114 0 0 0 | 0 0 0 | 0 0 | 0 0 | 1 1.1 -1
5.455312 0 0 0 | 0 0 0 | 0 0 | 0 0 | 1 1.1 -1
5.4653126 0 0 0 | 0 0 0 | 0 0 | 0 0 | 1 1.1 -1
5.4753131 0 0 0 | 0 0 0 | 0 0 | 0 0 | 1 1.1 -1
5.4853137 0 0 0 | 0 0 0 | 0 0 | 0 0 | 1 1.1 -1
5.4953143 0 0 0 | 0 0 0 | 0 0 | 0 0 | 1 1.1 -1
5.5053149 0 0 0 | 0 0 0 | 0 0 | 0 0 | 1 1.1 -1
5.5153154 0 0 0 | 0 0 0 | 0 0 | 0 0 | 1 1.1 -1
5.525316 0 0 0 | 0 0 0 | 0 0 | 0 0 | 1 1.1 -1
5.5353166 0 0 0 | 0 0 0 | 0 0 | 0 0 | 1 1.1 -1
5.5453171 0 0 0 | 0 0 0 | 0 0 | 0 0 | 1 1.1 -1
5.5553177 0 0 0 | 0 0 0 | 0 0 | 0 0 | 1 1.1 -1
5.5653183 0 0 0 | 0 0 0 | 0 0 | 0 0 | 1 1.1 -1
5.5753189 0 0 0 | 0 0 0 | 0 0 | 0 0 | 1 1.1 -1
5.5853194 0 0 0 | 0 0 0 | 0 0 | 0 0 | 1 1.1 -1
5.6693242 0 0 0 | 0 0 0 | 0 0 | 0 0 | 1 1.1 -1
5.6793248 0 0 0 | 0 0 0 | 0 0 | 0 0 | 1 10 -1
5.6893254 0 0 0 | 0 0 0 | 0 0 | 0 0 | 1 10 -1
5.6993259 0 0 0 | 0 0 0 | 0 0 | 0 0 | 1 10 -1
5.7093265 0 0 0 | 0 0 0 | 0 0 | 0 0 | 1 10 -1
5.7193271 0 0 0 | 0 0 0 | 0 0 | 0 0 | 1 10 -1
5.7293277 0 0 0 | 0 0 0 | 0 0 | 0 0 | 1 10 -1
5.7393282 0 0 0 | 0 0 0 | 0 0 | 0 0 | 1 10 -1
5.7493288 0 0 0 | 0 0 0 | 0 0 | 0 0 | 1 10 -1
5.7593294 0 0 0 | 0 0 0 | 0 0 | 0 0 | 1 10 -1
5.76933 0 0 0 | 0 0 0 | 0 0 | 0 0 | 1 10 -1
5.7793305 0 0 0 | 0 0 0 | 0 0 | 0 0 | 1 10 -1
5.7893311 0 0 0 | 0 0 0 | 0 0 | 0 0 | 1 10 -1
5.7993317 0 0 0 | 0 0 0 | 0 0 | 0 0 | 1 10 -1
5.8093322 0 0 0 | 0 0 0 | 0 0 | 0 0 | 1 10 -1
5.8193328 0 0 0 | 0 0 0 | 0 0 | 0 0 | 1 10 -1
5.8293334 0 0 0 | 0 0 0 | 0 0 | 0 0 | 1 10 -1
5.839334 0 0 0 | 0 0 0 | 0 0 | 0 0 | 1 10 -1
5.8493345 0 0 0 | 0 0 0 | 0 0 | 0 0 | 1 10 -1
5.8593351 0 0 0 | 0 0 0 | 0 0 | 0 0 | 1 10 -1
5.8693357 0 0 0 | 0 0 0 | 0 0 | 0 0 | 1 10 -1
5.8793362 0 0 0 | 0 0 0 | 0 0 | 0 0 | 1 10 -1
5.8893368 0 0 0 | 0 0 0 | 0 0 | 0 0 | 1 10 -1
5.8993374 0 0 0 | 0 0 0 | 0 0 | 0 0 | 1 10 -1
5.909338 0 0 0 | 0 0 0 | 0 0 | 0 0 | 1 10 -1
5.9193385 0 0 0 | 0 0 0 | 0 0 | 0 0 | 1 10 -1
5.9293391 0 0 0 | 0 0 0 | 0 0 | 0 0 | 1 10 -1
5.9393397 0 0 0 | 0 0 0 | 0 0 | 0 0 | 1 10 -1
5.9493402 0 0 0 | 0 0 0 | 0 0 | 0 0 | 1 10 -1
5.9593408 0 0 0 | 0 0 0 | 0 0 | 0 0 | 1 10 -1
5.9693414 0 0 0 | 0 0 0 | 0 0 | 0 0 | 1 10 -1
5.979342 0 0 0 | 0 0 0 | 0 0 | 0 0 | 1 10 -1
5.9893425 0 0 0 | 0 0 0 | 0 0 | 0 0 | 1 10 -1
5.9993431 0 0 0 | 0 0 0 | 0 0 | 0 0 | 1 10 -1
6.0093437 0 0 0 | 0 0 0 | 0 0 | 0 0 | 1 10 -1
6.0193443 0 0 0 | 0 0 0 | 0 0 | 0 0 | 1 10 -1
6.0293448 0 0 0 | 0 0 0 | 0 0 | 0 0 | 1 10 -1
6.0393454 0 0 0 | 0 0 0 | 0 0 | 0 0 | 1 10 -1
6.049346 0 0 0 | 0 0 0 | 0 0 | 0 0 | 1 10 -1
6.0593465 0 0 0 | 0 0 0 | 0 0 | 0 0 | 1 10 -1
6.0693471 0 0 0 | 0 0 0 | 0 0 | 0 0 | 1 10 -1
6.0793477 0 0 0 | 0 0 0 | 0 0 | 0 0 | 1 10 -1
6.0893483 0 0 0 | 0 0 0 | 0 0 | 0 0 | 1 10 -1
6.0993488 0 0 0 | 0 0 0 | 0 0 | 0 0 | 1 10 -1
6.1093494 0 0 0 | 0 0 0 | 0 0 | 0 0 | 1 10 -1
6.11935 0 0 0 | 0 0 0 | 0 0 | 0 0 | 1 10 -1
6.1293505 0 0 0 | 0 0 0 | 0 0 | 0 0 | 1 10 -1
6.1393511 0 0 0 | 0 0 0 | 0 0 | 0 0 | 1 10 -1
6.1493517 0 0 0 | 0 0 0 | 0 0 | 0 0 | 1 10 -1
6.1593523 0 0 0 | 0 0 0 | 0 0 | 0 0 | 1 10 -1
6.1693528 0 0 0 | 0 0 0 | 0 0 | 0 0 | 1 10 -1
6.1793534 0 0 0 | 0 0 0 | 0 0 | 0 0 | 1 10 -1
6.189354 0 0 0 | 0 0 0 | 0 0 | 0 0 | 1 10 -1
6.1993545 0 0 0 | 0 0 0 | 0 0 | 0 0 | 1 10 -1
6.2093551 0 0 0 | 0 0 0 | 0 0 | 0 0 | 1 10 -1
6.2193557 0 0 0 | 0 0 0 | 0 0 | 0 0 | 1 10 -1
6.2293563 0 0 0 | 0 0 0 | 0 0 | 0 0 | 1 10 -1
6.2393568 0 0 0 | 0 0 0 | 0 0 | 0 0 | 1 10 -1
6.2493574 0 0 0 | 0 0 0 | 0 0 | 0 0 | 1 10 -1
6.259358 0 0 0 | 0 0 0 | 0 0 | 0 0 | 1 10 -1
6.2693586 0 0 0 | 0 0 0 | 0 0 | 0 0 | 1 10 -1
6.2793591 0 0 0 | 0 0 0 | 0 0 | 0 0 | 1 10 -1
6.2893597 0 0 0 | 0 0 0 | 0 0 | 0 0 | 1 10 -1
6.2993603 0 0 0 | 0 0 0 | 0 0 | 0 0 | 1 10 -1
6.3093608 0 0 0 | 0 0 0 | 0 0 | 0 0 | 1 10 -1
6.3193614 0 0 0 | 0 0 0 | 0 0 | 0 0 | 1 10 -1
6.329362 0 0 0 | 0 0 0 | 0 0 | 0 0 | 1 10 -1
6.3393626 0 0 0 | 0 0 0 | 0 0 | 0 0 | 1 10 -1
6.3493631 0 0 0 | 0 0 0 | 0 0 | 0 0 | 1 10 -1
6.3593637 0 0 0 | 0 0 0 | 0 0 | 0 0 | 1 10 -1
6.3693643 0 0 0 | 0 0 0 | 0 0 | 0 0 | 1 10 -1
6.3793648 0 0 0 | 0 0 0 | 0 0 | 0 0 | 1 10 -1
6.3893654 0 0 0 | 0 0 0 | 0 0 | 0 0 | 1 10 -1
6.399366 0 0 0 | 0 0 0 | 0 0 | 0 0 | 1 10 -1
6.4093666 0 0 0 | 0 0 0 | 0 0 | 0 0 | 1 10 -1
6.4193671 0 0 0 | 0 0 0 | 0 0 | 0 0 | 1 10 -1
6.4293677 0 0 0 | 0 0 0 | 0 0 | 0 0 | 1 10 -1
6.4393683 0 0 0 | 0 0 0 | 0 0 | 0 0 | 1 10 -1
6.4493688 0 0 0 | 0 0 0 | 0 0 | 0 0 | 1 10 -1
6.4593694 0 0 0 | 0 0 0 | 0 0 | 0 0 | 1 10 -1
6.46937 0 0 0 | 0 0 0 | 0 0 | 0 0 | 1 10 -1
6.4793706 0 0 0 | 0 0 0 | 0 0 | 0 0 | 1 10 -1
6.4893711 0 0 0 | 0 0 0 | 0 0 | 0 0 | 1 10 -1
6.4993717 0 0 0 | 0 0 0 | 0 0 | 0 0 | 1 10 -1
6.5093723 0 0 0 | 0 0 0 | 0 0 | 0 0 | 1 10 -1
6.5193729 0 0 0 | 0 0 0 | 0 0 | 0 0 | 1 10 -1
6.5293734 0 0 0 | 0 0 0 | 0 0 | 0 0 | 1 10 -1
6.539374 0 0 0 | 0 0 0 | 0 0 | 0 0 | 1 10 -1
6.5493746 0 0 0 | 0 0 0 | 0 0 | 0 0 | 1 10 -1
6.5593751 0 0 0 | 0 0 0 | 0 0 | 0 0 | 1 10 -1
6.5693757 0 0 0 | 0 0 0 | 0 0 | 0 0 | 1 10 -1
6.5793763 0 0 0 | 0 0 0 | 0 0 | 0 0 | 1 10 -1
6.5893769 0 0 0 | 0 0 0 | 0 0 | 0 0 | 1 10 -1
6.5993774 0 0 0 | 0 0 0 | 0 0 | 0 0 | 1 10 -1
6.609378 0 0 0 | 0 0 0 | 0 0 | 0 0 | 1 10 -1
