0.009 0 0 0 | 0 0 0 | 0.0779585619265576 -0.784179025810661 | -34 87 | 0 0
3.128 1.13870066713209 -0.25434277719771 -0.606511379977205 | -1.52158218427621 -1.5659975112867 2.17250889126391 | -0.760791092138106 -0.786737262045902 | -320 -196 | -320 -196
3.138 1.13264172008565 -0.250168037461343 -0.600127049661655 | 1.52158815309069 1.56437510144812 -0.964248051786464 | 0.760794076545344 0.784716173877294 | 319 197 | 319 197
3.148 1.13870066713209 -0.25434277719771 -0.606511379977205 | -1.52158218427621 -1.5659975112867 2.17250889126391 | -0.760791092138106 -0.786737262045902 | -320 -196 | -320 -196
3.158 1.13264172008565 -0.250168037461343 -0.600127049661655 | 1.52158815309069 1.56437510144812 -0.964248051786464 | 0.760794076545344 0.784716173877294 | 319 197 | 319 197
3.168 1.13870066713209 -0.25434277719771 -0.606511379977205 | -1.52158218427621 -1.5659975112867 2.17250889126391 | -0.760791092138106 -0.786737262045902 | -320 -196 | -320 -196
3.178 1.13264172008565 -0.250168037461343 -0.600127049661655 | 1.52158815309069 1.56437510144812 -0.964248051786464 | 0.760794076545344 0.784716173877294 | 319 197 | 319 197
3.188 1.13870066713209 -0.25434277719771 -0.606511379977205 | -1.52158218427621 -1.5659975112867 2.17250889126391 | -0.760791092138106 -0.786737262045902 | -320 -196 | -320 -196
3.198 1.13264172008565 -0.250168037461343 -0.600127049661655 | 1.52158815309069 1.56437510144812 -0.964248051786464 | 0.760794076545344 0.784716173877294 | 319 197 | 319 197
3.208 1.13870066713209 -0.25434277719771 -0.606511379977205 | -1.52158218427621 -1.5659975112867 2.17250889126391 | -0.760791092138106 -0.786737262045902 | -320 -196 | -320 -196
3.218 1.13264172008565 -0.250168037461343 -0.600127049661655 | 1.52158815309069 1.56437510144812 -0.964248051786464 | 0.760794076545344 0.784716173877294 | 319 197 | 319 197
3.228 1.13870066713209 -0.25434277719771 -0.606511379977205 | -1.52158218427621 -1.5659975112867 2.17250889126391 | -0.760791092138106 -0.786737262045902 | -320 -196 | -320 -196
3.238 1.13264172008565 -0.250168037461343 -0.600127049661655 | 1.52158815309069 1.56437510144812 -0.964248051786464 | 0.760794076545344 0.784716173877294 | 319 197 | 319 197
3.248 1.13870066713209 -0.25434277719771 -0.606511379977205 | -1.52158218427621 -1.5659975112867 2.17250889126391 | -0.760791092138106 -0.786737262045902 | -320 -196 | -320 -196
3.258 1.13264172008565 -0.250168037461343 -0.600127049661655 | 1.52158815309069 1.56437510144812 -0.964248051786464 | 0.760794076545344 0.784716173877294 | 319 197 | 319 197
3.268 1.13870066713209 -0.25434277719771 -0.606511379977205 | -1.52158218427621 -1.5659975112867 2.17250889126391 | -0.760791092138106 -0.786737262045902 | -320 -196 | -320 -196
3.278 1.13264172008565 -0.250168037461343 -0.600127049661655 | 1.52158815309069 1.56437510144812 -0.964248051786464 | 0.760794076545344 0.784716173877294 | 319 197 | 319 197
3.288 1.13870066713209 -0.25434277719771 -0.606511379977205 | -1.52158218427621 -1.5659975112867 2.17250889126391 | -0.760791092138106 -0.786737262045902 | -320 -196 | -320 -196
3.298 1.13264172008565 -0.250168037461343 -0.600127049661655 | 1.52158815309069 1.56437510144812 -0.964248051786464 | 0.760794076545344 0.784716173877294 | 319 197 | 319 197
3.308 1.13870066713209 -0.25434277719771 -0.606511379977205 | -1.52158218427621 -1.5659975112867 2.17250889126391 | -0.760791092138106 -0.786737262045902 | -320 -196 | -320 -196
3.318 1.13264172008565 -0.250168037461343 -0.600127049661655 | 1.52158815309069 1.56437510144812 -0.964248051786464 | 0.760794076545344 0.784716173877294 | 319 197 | 319 197
3.328 1.13870066713209 -0.25434277719771 -0.606511379977205 | -1.52158218427621 -1.5659975112867 2.17250889126391 | -0.760791092138106 -0.786737262045902 | -320 -196 | -320 -196
3.338 1.13264172008565 -0.250168037461343 -0.600127049661655 | 1.52158815309069 1.56437510144812 -0.964248051786464 | 0.760794076545344 0.784716173877294 | 319 197 | 319 197
3.348 1.13870066713209 -0.25434277719771 -0.606511379977205 | -1.52158218427621 -1.5659975112867 2.17250889126391 | -0.760791092138106 -0.786737262045902 | -320 -196 | -320 -196
3.358 1.13264172008565 -0.250168037461343 -0.600127049661655 | 1.52158815309069 1.56437510144812 -0.964248051786464 | 0.760794076545344 0.784716173877294 | 319 197 | 319 197
3.368 1.13870066713209 -0.25434277719771 -0.606511379977205 | -1.52158218427621 -1.5659975112867 2.17250889126391 | -0.760791092138106 -0.786737262045902 | -320 -196 | -320 -196
3.378 1.13264172008565 -0.250168037461343 -0.600127049661655 | 1.52158815309069 1.56437510144812 -0.964248051786464 | 0.760794076545344 0.784716173877294 | 319 197 | 319 197
3.388 1.13870066713209 -0.25434277719771 -0.606511379977205 | -1.52158218427621 -1.5659975112867 2.17250889126391 | -0.760791092138106 -0.786737262045902 | -320 -196 | -320 -196
3.398 1.13264172008565 -0.250168037461343 -0.600127049661655 | 1.52158815309069 1.56437510144812 -0.964248051786464 | 0.760794076545344 0.784716173877294 | 319 197 | 319 197
3.408 1.13870066713209 -0.25434277719771 -0.606511379977205 | -1.52158218427621 -1.5659975112867 2.17250889126391 | -0.760791092138106 -0.786737262045902 | -320 -196 | -320 -196
3.418 1.13264172008565 -0.250168037461343 -0.600127049661655 | 1.52158815309069 1.56437510144812 -0.964248051786464 | 0.760794076545344 0.784716173877294 | 319 197 | 319 197
3.428 1.13870066713209 -0.25434277719771 -0.606511379977205 | -1.52158218427621 -1.5659975112867 2.17250889126391 | -0.760791092138106 -0.786737262045902 | -320 -196 | -320 -196
3.438 1.13264172008565 -0.250168037461343 -0.600127049661655 | 1.52158815309069 1.56437510144812 -0.964248051786464 | 0.760794076545344 0.784716173877294 | 319 197 | 319 197
3.448 1.13870066713209 -0.25434277719771 -0.606511379977205 | -1.52158218427621 -1.5659975112867 2.17250889126391 | -0.760791092138106 -0.786737262045902 | -320 -196 | -320 -196
3.458 1.13264172008565 -0.250168037461343 -0.600127049661655 | 1.52158815309069 1.56437510144812 -0.964248051786464 | 0.760794076545344 0.784716173877294 | 319 197 | 319 197
3.468 1.13870066713209 -0.25434277719771 -0.606511379977205 | -1.52158218427621 -1.5659975112867 2.17250889126391 | -0.760791092138106 -0.786737262045902 | -320 -196 | -320 -196
3.478 1.13264172008565 -0.250168037461343 -0.600127049661655 | 1.52158815309069 1.56437510144812 -0.964248051786464 | 0.760794076545344 0.784716173877294 | 319 197 | 319 197
3.488 1.13870066713209 -0.25434277719771 -0.606511379977205 | -1.52158218427621 -1.5659975112867 2.17250889126391 | -0.760791092138106 -0.786737262045902 | -320 -196 | -320 -196
3.498 1.13264172008565 -0.250168037461343 -0.600127049661655 | 1.52158815309069 1.56437510144812 -0.964248051786464 | 0.760794076545344 0.784716173877294 | 319 197 | 319 197
3.508 1.13870066713209 -0.25434277719771 -0.606511379977205 | -1.52158218427621 -1.5659975112867 2.17250889126391 | -0.760791092138106 -0.786737262045902 | -320 -196 | -320 -196
3.518 1.13264172008565 -0.250168037461343 -0.600127049661655 | 1.52158815309069 1.56437510144812 -0.964248051786464 | 0.760794076545344 0.784716173877294 | 319 197 | 319 197
3.528 1.13870066713209 -0.25434277719771 -0.606511379977205 | -1.52158218427621 -1.5659975112867 2.17250889126391 | -0.760791092138106 -0.786737262045902 | -320 -196 | -320 -196
3.538 1.13141397599712 -0.249356324390371 -0.593742719346106 | 1.52162180136437 1.55702374720049 -0.963281027854384 | 0.760810900682185 0.7810321783753 | 319 197 | 319 197
3.548 1.13870066713209 -0.25434277719771 -0.606511379977205 | -1.52158218427621 -1.5659975112867 2.17250889126391 | -0.760791092138106 -0.786737262045902 | -320 -196 | -320 -196
3.558 1.13141397599712 -0.249356324390371 -0.593742719346106 | 1.52162180136437 1.55702374720049 -0.963281027854384 | 0.760810900682185 0.7810321783753 | 319 197 | 319 197
3.568 1.13870066713209 -0.25434277719771 -0.606511379977205 | -1.52158218427621 -1.5659975112867 2.17250889126391 | -0.760791092138106 -0.786737262045902 | -320 -196 | -320 -196
3.578 1.13141397599712 -0.249356324390371 -0.593742719346106 | 1.52162180136437 1.55702374720049 -0.963281027854384 | 0.760810900682185 0.7810321783753 | 319 197 | 319 197
3.588 1.13870066713209 -0.25434277719771 -0.606511379977205 | -1.52158218427621 -1.5659975112867 2.17250889126391 | -0.760791092138106 -0.786737262045902 | -320 -196 | -320 -196
3.598 1.13141397599712 -0.249356324390371 -0.593742719346106 | 1.52162180136437 1.55702374720049 -0.963281027854384 | 0.760810900682185 0.7810321783753 | 319 197 | 319 197
3.608 1.13870066713209 -0.25434277719771 -0.606511379977205 | -1.52158218427621 -1.5659975112867 2.17250889126391 | -0.760791092138106 -0.786737262045902 | -320 -196 | -320 -196
3.618 1.13141397599712 -0.249356324390371 -0.593742719346106 | 1.52162180136437 1.55702374720049 -0.963281027854384 | 0.760810900682185 0.7810321783753 | 319 197 | 319 197
3.628 1.13870066713209 -0.25434277719771 -0.606511379977205 | -1.52158218427621 -1.5659975112867 2.17250889126391 | -0.760791092138106 -0.786737262045902 | -320 -196 | -320 -196
3.638 1.13141397599712 -0.249356324390371 -0.593742719346106 | 1.52162180136437 1.55702374720049 -0.963281027854384 | 0.760810900682185 0.7810321783753 | 319 197 | 319 197
3.648 1.13870066713209 -0.25434277719771 -0.606511379977205 | -1.52158218427621 -1.5659975112867 2.17250889126391 | -0.760791092138106 -0.786737262045902 | -320 -196 | -320 -196
3.658 1.13141397599712 -0.249356324390371 -0.593742719346106 | 1.52162180136437 1.55702374720049 -0.963281027854384 | 0.760810900682185 0.7810321783753 | 319 197 | 319 197
3.668 1.13870066713209 -0.25434277719771 -0.606511379977205 | -1.52158218427621 -1.5659975112867 2.17250889126391 | -0.760791092138106 -0.786737262045902 | -320 -196 | -320 -196
3.678 1.13141397599712 -0.249356324390371 -0.593742719346106 | 1.52162180136437 1.55702374720049 -0.963281027854384 | 0.760810900682185 0.7810321783753 | 319 197 | 319 197
3.688 1.13870066713209 -0.25434277719771 -0.606511379977205 | -1.52158218427621 -1.5659975112867 2.17250889126391 | -0.760791092138106 -0.786737262045902 | -320 -196 | -320 -196
3.698 1.13141397599712 -0.249356324390371 -0.593742719346106 | 1.52162180136437 1.55702374720049 -0.963281027854384 | 0.760810900682185 0.7810321783753 | 319 197 | 319 197
3.708 1.13870066713209 -0.25434277719771 -0.606511379977205 | -1.52158218427621 -1.5659975112867 2.17250889126391 | -0.760791092138106 -0.786737262045902 | -320 -196 | -320 -196
3.718 1.13141397599712 -0.249356324390371 -0.593742719346106 | 1.52162180136437 1.55702374720049 -0.963281027854384 | 0.760810900682185 0.7810321783753 | 319 197 | 319 197
3.728 1.13870066713209 -0.25434277719771 -0.606511379977205 | -1.52158218427621 -1.5659975112867 2.17250889126391 | -0.760791092138106 -0.786737262045902 | -320 -196 | -320 -196
3.738 1.13141397599712 -0.249356324390371 -0.593742719346106 | 1.52162180136437 1.55702374720049 -0.963281027854384 | 0.760810900682185 0.7810321783753 | 319 197 | 319 197
3.748 1.13870066713209 -0.25434277719771 -0.606511379977205 | -1.52158218427621 -1.5659975112867 2.17250889126391 | -0.760791092138106 -0.786737262045902 | -320 -196 | -320 -196
3.758 1.13141397599712 -0.249356324390371 -0.593742719346106 | 1.52162180136437 1.55702374720049 -0.963281027854384 | 0.760810900682185 0.7810321783753 | 319 197 | 319 197
3.768 1.13870066713209 -0.25434277719771 -0.606511379977205 | -1.52158218427621 -1.5659975112867 2.17250889126391 | -0.760791092138106 -0.786737262045902 | -320 -196 | -320 -196
3.778 1.13141397599712 -0.249356324390371 -0.593742719346106 | 1.52162180136437 1.55702374720049 -0.963281027854384 | 0.760810900682185 0.7810321783753 | 319 197 | 319 197
3.788 1.13870066713209 -0.25434277719771 -0.606511379977205 | -1.52158218427621 -1.5659975112867 2.17250889126391 | -0.760791092138106 -0.786737262045902 | -320 -196 | -320 -196
3.798 1.13141397599712 -0.249356324390371 -0.593742719346106 | 1.52162180136437 1.55702374720049 -0.963281027854384 | 0.760810900682185 0.7810321783753 | 319 197 | 319 197
3.808 1.13870066713209 -0.25434277719771 -0.606511379977205 | -1.52158218427621 -1.5659975112867 2.17250889126391 | -0.760791092138106 -0.786737262045902 | -320 -196 | -320 -196
3.818 1.13141397599712 -0.249356324390371 -0.593742719346106 | 1.52162180136437 1.55702374720049 -0.963281027854384 | 0.760810900682185 0.7810321783753 | 319 197 | 319 197
3.828 1.13870066713209 -0.25434277719771 -0.606511379977205 | -1.52158218427621 -1.5659975112867 2.17250889126391 | -0.760791092138106 -0.786737262045902 | -320 -196 | -320 -196
3.838 1.13261519082918 -0.250206804598098 -0.587358389030556 | 1.52163512756629 1.55160663904972 -0.964248250019164 | 0.760817563783145 0.778319174413929 | 319 197 | 319 197
3.848 1.13870066713209 -0.25434277719771 -0.606511379977205 | -1.52158218427621 -1.5659975112867 2.17250889126391 | -0.760791092138106 -0.786737262045902 | -320 -196 | -320 -196
3.858 1.13261519082918 -0.250206804598098 -0.587358389030556 | 1.52163512756629 1.55160663904972 -0.964248250019164 | 0.760817563783145 0.778319174413929 | 319 197 | 319 197
3.868 1.13870066713209 -0.25434277719771 -0.606511379977205 | -1.52158218427621 -1.5659975112867 2.17250889126391 | -0.760791092138106 -0.786737262045902 | -320 -196 | -320 -196
3.878 1.13261519082918 -0.250206804598098 -0.587358389030556 | 1.52163512756629 1.55160663904972 -0.964248250019164 | 0.760817563783145 0.778319174413929 | 319 197 | 319 197
3.888 1.13870066713209 -0.25434277719771 -0.606511379977205 | -1.52158218427621 -1.5659975112867 2.17250889126391 | -0.760791092138106 -0.786737262045902 | -320 -196 | -320 -196
3.898 1.13261519082918 -0.250206804598098 -0.587358389030556 | 1.52163512756629 1.55160663904972 -0.964248250019164 | 0.760817563783145 0.778319174413929 | 319 197 | 319 197
3.908 1.13993356840864 -0.255146635455603 -0.600127049661655 | 1.52154768024068 1.57017784834506 -0.970050798683403 | 0.760773840120342 0.787629152819558 | 320 196 | 320 196
3.918 1.14477004020087 -0.258501883130054 -0.612895710292754 | -1.52159300536639 -1.55477765325888 2.16767336355163 | -0.760796502683193 -0.78111127764625 | -319 -197 | -319 -197
3.928 1.13873786937076 -0.254288546417382 -0.606511379977205 | -1.52151641967146 -1.56599753054086 2.17250891051807 | -0.760758209835728 -0.786737271711491 | -320 -196 | -320 -196
3.938 1.13265239306785 -0.25015257381777 -0.587358389030556 | 1.52156936387209 1.55160641079887 -0.964248021768316 | 0.760784681936045 0.778319059832003 | 319 197 | 319 197
3.948 1.13997077064731 -0.255092404675275 -0.600127049661655 | 1.52148191563835 1.57017787088969 -0.970050821228031 | 0.760740957819174 0.787629164136961 | 320 196 | 320 196
3.958 1.14480724243954 -0.258447652349725 -0.612895710292754 | -1.52152724138886 -1.55477746350865 2.1676731738014 | -0.760763620694431 -0.781111182391633 | -319 -197 | -319 -197
3.968 1.13877507160943 -0.254234315637054 -0.606511379977205 | -1.5214506550667 -1.56599754979669 2.1725089297739 | -0.760725327533351 -0.786737281377916 | -320 -196 | -320 -196
3.978 1.13268959530652 -0.250098343037442 -0.587358389030556 | 1.52150360017797 1.55160618252829 -0.964247793497736 | 0.760751800088985 0.778318945240172 | 319 197 | 319 197
3.988 1.14000797288598 -0.255038173894946 -0.600127049661655 | 1.52141615103601 1.57017789343626 -0.970050843774607 | 0.760708075518007 0.787629175455342 | 320 196 | 320 196
3.998 1.14484444467821 -0.258393421569397 -0.612895710292754 | -1.52146147741139 -1.55477727374201 2.16767298403476 | -0.760730738705696 -0.781111087128782 | -319 -197 | -319 -197
4.008 1.1388122738481 -0.254180084856726 -0.606511379977205 | -1.52138489046195 -1.56599756905418 2.17250894903139 | -0.760692445230973 -0.786737291045177 | -320 -196 | -320 -196
4.018 1.13272679754519 -0.250044112257114 -0.587358389030556 | 1.52143783648393 1.55160595423798 -0.964247565207422 | 0.760718918241964 0.778318830638435 | 319 197 | 319 197
4.028 1.14004517512465 -0.254983943114618 -0.600127049661655 | 1.52135038643368 1.57017791598479 -0.970050866323133 | 0.76067519321684 0.787629186774702 | 320 196 | 320 196
4.038 1.14488164691688 -0.258339190789069 -0.612895710292754 | -1.52139571343398 -1.55477708395897 2.16767279425172 | -0.760697856716989 -0.781110991857695 | -319 -197 | -319 -197
4.048 1.13884947608677 -0.254125854076398 -0.606511379977205 | -1.52131912585719 -1.56599758831334 2.17250896829054 | -0.760659562928596 -0.786737300713274 | -320 -196 | -320 -196
4.058 1.13276399978386 -0.249989881476786 -0.587358389030556 | 1.52137207278997 1.55160572592793 -0.964247336897373 | 0.760686036394984 0.77831871602679 | 319 197 | 319 197
4.068 1.14008237736332 -0.25492971233429 -0.600127049661655 | 1.52128462183135 1.57017793853526 -0.970050888873609 | 0.760642310915673 0.787629198095041 | 320 196 | 320 196
4.078 1.14491884915555 -0.258284960008741 -0.612895710292754 | -1.52132994945662 -1.55477689415952 2.16767260445227 | -0.760664974728309 -0.781110896578371 | -319 -197 | -319 -197
4.088 1.13888667832544 -0.25407162329607 -0.606511379977205 | -1.52125336125244 -1.56599760757416 2.17250898755137 | -0.760626680626219 -0.786737310382206 | -320 -196 | -320 -196
4.098 1.13280120202253 -0.249935650696458 -0.587358389030556 | 1.52130630909608 1.55160549759814 -0.964247108567584 | 0.760653154548042 0.778318601405236 | 319 197 | 319 197
4.108 1.14011957960199 -0.254875481553962 -0.600127049661655 | 1.52121885722901 1.57017796108769 -0.970050911426034 | 0.760609428614507 0.787629209416359 | 320 196 | 320 196
4.118 1.14495605139422 -0.258230729228413 -0.612895710292754 | -1.52126418547931 -1.55477670434366 2.16767241463641 | -0.760632092739656 -0.78111080129081 | -319 -197 | -319 -197
4.128 1.1389238805641 -0.254017392515742 -0.606511379977205 | -1.52118759664769 -1.56599762683665 2.17250900681385 | -0.760593798323843 -0.786737320051975 | -320 -196 | -320 -196
4.138 1.1328384042612 -0.249881419916129 -0.587358389030556 | 1.52124054540228 1.55160526924861 -0.964246880218053 | 0.760620272701141 0.778318486773771 | 319 197 | 319 197
4.148 1.14015678184066 -0.254821250773634 -0.600127049661655 | 1.52115309262668 1.57017798364206 -0.97005093398041 | 0.760576546313341 0.787629220738655 | 320 196 | 320 196
4.158 1.14499325363288 -0.258176498448085 -0.612895710292754 | -1.52119842150206 -1.55477651451139 2.16767222480414 | -0.760599210751031 -0.781110705995009 | -319 -197 | -319 -197
4.168 1.13896108280277 -0.253963161735413 -0.606511379977205 | -1.52112183204293 -1.5659976461008 2.17250902607801 | -0.760560916021466 -0.786737329722579 | -320 -196 | -320 -196
4.178 1.13287560649986 -0.249827189135801 -0.587358389030556 | 1.52117478170856 1.55160504087933 -0.964246651848779 | 0.760587390854279 0.778318372132396 | 319 197 | 319 197
4.188 1.14019398407933 -0.254767019993306 -0.600127049661655 | 1.52108732802435 1.57017800619839 -0.970050956536735 | 0.760543664012176 0.78762923206193 | 320 196 | 320 196
4.198 1.14503045587155 -0.258122267667757 -0.612895710292754 | -1.52113265752487 -1.5547763246627 2.16767203495546 | -0.760566328762433 -0.781110610690969 | -319 -197 | -319 -197
4.208 1.13899828504144 -0.253908930955085 -0.606511379977205 | -1.52105606743818 -1.56599766536662 2.17250904534382 | -0.76052803371909 -0.78673733939402 | -320 -196 | -320 -196
4.218 1.13291280873853 -0.249772958355473 -0.587358389030556 | 1.52110901801491 1.55160481249031 -0.964246423459757 | 0.760554509007456 0.778318257481107 | 319 197 | 319 197
4.228 1.14023118631799 -0.254712789212978 -0.600127049661655 | 1.52102156342202 1.57017802875667 -0.970050979095012 | 0.760510781711011 0.787629243386185 | 320 196 | 320 196
4.238 1.14506765811022 -0.258068036887429 -0.612895710292754 | -1.52106689354773 -1.5547761347976 2.16767184509035 | -0.760533446773863 -0.781110515378687 | -319 -197 | -319 -197
4.248 1.13903548728011 -0.253854700174757 -0.606511379977205 | -1.52099030283343 -1.5659976846341 2.17250906461131 | -0.760495151416715 -0.786737349066298 | -320 -196 | -320 -196
4.258 1.1329500109772 -0.249718727575145 -0.587358389030556 | 1.52104325432135 1.55160458408154 -0.964246195050987 | 0.760521627160674 0.778318142819904 | 319 197 | 319 197
4.268 1.14026838855666 -0.25465855843265 -0.600127049661655 | 1.52095579881969 1.57017805131689 -0.970051001655238 | 0.760477899409847 0.787629254711419 | 320 196 | 320 196
4.278 1.14510486034889 -0.2580138061071 -0.612895710292754 | -1.52100112957064 -1.55477594491608 2.16767165520883 | -0.76050056478532 -0.781110420058164 | -319 -197 | -319 -197
4.288 1.13907268951878 -0.253800469394429 -0.606511379977205 | -1.52092453822868 -1.56599770390326 2.17250908388046 | -0.760462269114339 -0.786737358739411 | -319 -196 | -319 -196
4.298 1.13298721321587 -0.249664496794817 -0.587358389030556 | 1.52097749062786 1.55160435565302 -0.964245966622465 | 0.760488745313931 0.778318028148786 | 319 197 | 319 197
4.308 1.14030559079533 -0.254604327652321 -0.600127049661655 | 1.52089003421736 1.57017807387907 -0.970051024217417 | 0.760445017108682 0.787629266037633 | 320 196 | 320 196
4.318 1.14514206258756 -0.257959575326772 -0.612895710292754 | -1.52093536559361 -1.55477575501814 2.16767146531089 | -0.760467682796805 -0.781110324729397 | -319 -197 | -319 -197
4.328 1.13910989175745 -0.253746238614101 -0.606511379977205 | -1.52085877362393 -1.56599772317407 2.17250910315128 | -0.760429386811964 -0.786737368413362 | -319 -196 | -319 -196
4.338 1.13302441545454 -0.249610266014489 -0.587358389030556 | 1.52091172693445 1.55160412720474 -0.964245738174188 | 0.760455863467227 0.778317913467751 | 319 197 | 319 197
4.348 1.140342793034 -0.254550096871993 -0.600127049661655 | 1.52082426961504 1.5701780964432 -0.970051046781546 | 0.760412134807518 0.787629277364825 | 320 196 | 320 196
4.358 1.14517926482623 -0.257905344546444 -0.612895710292754 | -1.52086960161663 -1.55477556510377 2.16767127539653 | -0.760434800808317 -0.781110229392386 | -319 -197 | -319 -197
4.368 1.13914709399612 -0.253692007833773 -0.606511379977205 | -1.52079300901918 -1.56599774244656 2.17250912242376 | -0.760396504509589 -0.786737378088149 | -319 -196 | -319 -196
4.378 1.13306161769321 -0.249556035234161 -0.587358389030556 | 1.52084596324113 1.55160389873671 -0.964245509706155 | 0.760422981620564 0.778317798776799 | 319 197 | 319 197
4.388 1.14037999527267 -0.254495866091665 -0.600127049661655 | 1.52075850501271 1.57017811900928 -0.970051069347627 | 0.760379252506355 0.787629288692998 | 320 196 | 320 196
4.398 1.1452164670649 -0.257851113766116 -0.612895710292754 | -1.52080383763971 -1.55477537517298 2.16767108546574 | -0.760401918819856 -0.78111013404713 | -319 -197 | -319 -197
4.408 1.13918429623479 -0.253637777053445 -0.606511379977205 | -1.52072724441443 -1.56599776172071 2.17250914169791 | -0.760363622207215 -0.786737387763772 | -319 -196 | -319 -196
4.418 1.13309881993188 -0.249501804453833 -0.587358389030556 | 1.52078019954788 1.55160367024892 -0.964245281218362 | 0.76039009977394 0.778317684075927 | 319 197 | 319 197
4.428 1.14041719751134 -0.254441635311337 -0.600127049661655 | 1.52069274041038 1.57017814157731 -0.97005109191566 | 0.760346370205192 0.78762930002215 | 320 196 | 320 196
4.438 1.14525366930357 -0.257796882985788 -0.612895710292754 | -1.52073807366285 -1.55477518522577 2.16767089551852 | -0.760369036831423 -0.781110038693628 | -319 -197 | -319 -197
4.448 1.13922149847345 -0.253583546273117 -0.606511379977205 | -1.52066147980968 -1.56599778099653 2.17250916097373 | -0.760330739904841 -0.786737397440233 | -319 -196 | -319 -196
4.458 1.13313602217055 -0.249447573673505 -0.587358389030556 | 1.52071443585471 1.55160344174136 -0.964245052710807 | 0.760357217927356 0.778317569365134 | 319 197 | 319 197
4.468 1.14045439975001 -0.254387404531009 -0.600127049661655 | 1.52062697580806 1.5701781641473 -0.970051114485644 | 0.760313487904029 0.787629311352283 | 320 196 | 320 196
4.478 1.14529087154223 -0.25774265220546 -0.612895710292754 | -1.52067230968603 -1.55477499526212 2.16767070555488 | -0.760336154843017 -0.781109943331878 | -319 -197 | -319 -197
4.488 1.13925870071212 -0.253529315492788 -0.606511379977205 | -1.52059571520493 -1.56599780027401 2.17250918025122 | -0.760297857602467 -0.786737407117531 | -319 -196 | -319 -196
4.498 1.13317322440921 -0.249393342893176 -0.587358389030556 | 1.52064867216162 1.55160321321404 -0.964244824183488 | 0.760324336080811 0.778317454644419 | 319 197 | 319 197
4.508 1.14049160198868 -0.254333173750681 -0.600127049661655 | 1.52056121120573 1.57017818671924 -0.970051137057582 | 0.760280605602867 0.787629322683395 | 320 196 | 320 196
4.518 1.1453280737809 -0.257688421425132 -0.612895710292754 | -1.52060654570928 -1.55477480528204 2.1676705155748 | -0.760303272854639 -0.781109847961879 | -319 -197 | -319 -197
4.528 1.13929590295079 -0.25347508471246 -0.606511379977205 | -1.52052995060019 -1.56599781955316 2.17250919953037 | -0.760264975300093 -0.786737416795665 | -319 -196 | -319 -196
4.538 1.13321042664788 -0.249339112112848 -0.587358389030556 | 1.52058290846861 1.55160298466696 -0.964244595636401 | 0.760291454234306 0.778317339913782 | 319 197 | 319 197
4.548 1.14052880422734 -0.254278942970353 -0.600127049661655 | 1.52049544660341 1.57017820929313 -0.970051159631471 | 0.760247723301705 0.787629334015488 | 319 196 | 319 196
4.558 1.14536527601957 -0.257634190644804 -0.612895710292754 | -1.52054078173258 -1.55477461528553 2.16767032557829 | -0.760270390866288 -0.781109752583631 | -319 -197 | -319 -197
4.568 1.13933310518946 -0.253420853932132 -0.606511379977205 | -1.52046418599544 -1.56599783883398 2.17250921881119 | -0.760232092997719 -0.786737426474637 | -319 -196 | -319 -196
4.578 1.13324762888655 -0.24928488133252 -0.587358389030556 | 1.52051714477568 1.5516027561001 -0.964244367069545 | 0.760258572387841 0.77831722517322 | 319 197 | 319 197
4.588 1.14056600646601 -0.254224712190025 -0.600127049661655 | 1.52042968200109 1.57017823186897 -0.970051182207313 | 0.760214841000543 0.787629345348561 | 319 196 | 319 196
4.598 1.14540247825824 -0.257579959864475 -0.612895710292754 | -1.52047501775593 -1.55477442527259 2.16767013556534 | -0.760237508877964 -0.781109657197132 | -319 -197 | -319 -197
4.608 1.13937030742813 -0.253366623151804 -0.606511379977205 | -1.52039842139069 -1.56599785811647 2.17250923809368 | -0.760199210695346 -0.786737436154447 | -319 -196 | -319 -196
4.618 1.13328483112522 -0.249230650552192 -0.587358389030556 | 1.52045138108283 1.55160252751347 -0.964244138482916 | 0.760225690541416 0.778317110422733 | 319 197 | 319 197
4.628 1.14060320870468 -0.254170481409696 -0.600127049661655 | 1.52036391739876 1.57017825444676 -0.970051204785109 | 0.760181958699382 0.787629356682614 | 319 196 | 319 196
4.638 1.14543968049691 -0.257525729084147 -0.612895710292754 | -1.52040925377934 -1.55477423524321 2.16766994553596 | -0.760204626889669 -0.781109561802382 | -319 -197 | -319 -197
4.648 1.1394075096668 -0.253312392371476 -0.606511379977205 | -1.52033265678595 -1.56599787740063 2.17250925737783 | -0.760166328392973 -0.786737445835094 | -319 -196 | -319 -196
4.658 1.13332203336389 -0.249176419771864 -0.587358389030556 | 1.52038561739006 1.55160229890707 -0.964243909876513 | 0.76019280869503 0.778316995662318 | 319 197 | 319 197
4.668 1.14064041094335 -0.254116250629368 -0.600127049661655 | 1.52029815279644 1.57017827702651 -0.970051227364858 | 0.760149076398221 0.787629368017648 | 319 196 | 319 196
4.678 1.14547688273558 -0.257471498303819 -0.612895710292754 | -1.5203434898028 -1.55477404519738 2.16766975549014 | -0.7601717449014 -0.781109466399379 | -319 -197 | -319 -197
4.688 1.13944471190547 -0.253258161591148 -0.606511379977205 | -1.5202668921812 -1.56599789668645 2.17250927666366 | -0.760133446090601 -0.786737455516578 | -319 -196 | -319 -196
